Key,Japanese,Chinese,Korean
@@locale,ja,zh,ko
thisApp,このアプリはリアルなエレベーターシミュレーターです。,这个应用是一个真实的电梯模拟器。,이 앱은 실감나는 엘리베이터 시뮬레이터입니다.
vip,VIP階です。　,VIP层。　,VIP 층 입니다. 
upFloor,うえにまいります。　,向上前往。　,올라갑니다. 
downFloor,したにまいります。　,向下前往。　,내려갑니다. 
ground,地上階です。　,地面层。　,지상 층 입니다. 
aboutShimax,島田電機製作所とは,关于岛田电器制造所,島田電機製作所 란
challenge,30秒チャレンジ,30秒挑战,30초 도전
parking,駐車場です。　,停车场。　,주차장 입니다. 
start,スタート,开始,시작
letsElevator,レッツ・エレベーター,操作乐趣电梯,렛츠 엘리베이터
closeDoor,ドアがしまります。　,门将关闭。　,문이 닫힙니다. 
basement,地下,地下,지하
terms,利用規約・プライバシーポリシー,使用条款和隐私政策,이용 약관 및 개인정보 처리 방침
newRecord,ベストスコア更新！,最佳得分更新！,최고의 점수 경신하다!!
back,戻る,返回,뒤로
notStop,ランプが点灯しない階には止まりません。　,不停靠未点亮的楼层。　,그 층에는 멈추지 않습니다. 
dog,犬です。　,狗。　,개 입니다. 
paradise,楽園です。　,乐园。　,낙원 입니다. 
pushNumber,行き先階ボタンを押してください。　,请按目的楼层按钮。　,가고싶은 층 버튼을 누르십시오. 
elevatorMode,エレベーターモード,电梯模式,엘리베이터 란
reproButtons,再現！1000のボタン,再现！1000个按钮,재현! 1000개의 버튼
menu,メニュー,菜单,메뉴
emergency,エレベーターの状態を確認するため、緊急停止します。 ,为了检查电梯状态，将进行紧急停车。,엘리베이터의 상태를 확인하기 위해 긴급 정지합니다. 
officialOnlineShop,公式オンラインショップ,官方在线商店,공식 온라인 숍
best,ベストスコア：,最佳得分：,최고의 점수 : 
yourScore,今回のスコア,本次得分,이번 점수
spa,温泉です。　,温泉。　,온천 입니다. 
aboutButtons,1000のボタンとは,关于1000个按钮,1000개의 버튼 란
rooftop,屋上です。　,屋顶。　,옥상 입니다. 
openDoor,ドアがひらきます。　,门将打开。　,문이 열립니다. 
platform,ホーム階です。　,平台层。　,홈층 입니다. 
buttonsMode,1000のボタンモード,1000个按钮模式,1000개의 버튼 란
aboutLetsElevator,レッツ・エレベーターとは,关于操作乐趣电梯,렛츠 엘리베이터 란
normalMode,ノーマルモード,标准模式,일반 모드
floor,{NUMBER}階です。　,{NUMBER}层。　,{NUMBER}층 입니다. 
return1st,確認が完了しました。一階に戻ります。 ,检查完成。返回一层。,확인이 완료되었습니다. 1층으로 돌아갑니다.
